05f0	2	00	00	0e	00	00	00	00	00	2.084334
04f0	8	00	00	00	00	00	00	00	00	3.116588
0690	8	00	00	00	00	00	00	00	00	4.124836
04f0	8	00	00	00	00	00	00	00	00	5.126036
05f0	2	00	00	00	00	00	00	00	00	6.134353
0690	8	00	00	00	00	00	00	00	00	6.165407
04f0	8	00	00	00	80	00	eb	b6	13	6.184996
0130	8	00	00	40	ff	00	00	41	3d	6.196946
0131	8	00	00	40	00	00	00	41	9b	6.217975
0140	8	00	00	00	00	02	29	21	f0	6.338382
04f0	8	00	00	00	80	00	eb	b6	13	6.465245
0130	8	00	00	40	ff	00	00	42	1a	6.476891
0131	8	00	00	40	00	00	00	42	bc	6.497941
0140	8	00	00	00	00	04	25	22	a5	6.58345
05f0	2	00	00	00	00	04	25	22	a5	6.64367
04f0	8	00	00	00	80	00	eb	b6	13	6.85408
0130	8	00	00	40	ff	00	00	43	07	6.86924
0131	8	00	00	40	00	00	00	43	a1	6.97951
